timestamp TimeMS SV SP SH SMX SMY SMZ SVT OFN EFE FS DS
199.024 199024 42 16 7 7 8 3 0 0 0 0 0
199.044 199044 45 19 7 7 8 3 0 0 0 0 0
199.064 199064 45 19 1 7 8 3 0 0 0 0 1
199.084 199084 45 19 1 7 12 3 0 0 0 0 0
199.104 199104 45 19 1 7 12 4 0 0 0 0 0
199.124 199124 45 19 1 7 12 4 0 0 0 0 0
199.144 199144 45 19 1 7 12 4 0 0 0 0 0
199.165 199165 45 19 13 6 12 4 0 0 0 0 0
199.184 199184 45 19 13 6 10 4 0 0 0 0 0
199.204 199204 45 19 13 6 10 6 0 0 0 0 0
199.224 199224 45 19 13 6 10 6 0 0 0 0 0
199.245 199245 44 17 13 6 10 6 0 0 0 0 0
199.265 199265 44 17 25 3 10 6 0 0 0 0 0
199.285 199285 44 17 25 3 9 6 0 0 0 0 0
199.305 199305 44 17 25 3 9 1 0 0 0 0 0
199.325 199325 44 17 25 3 9 1 0 0 0 0 0
199.345 199345 44 17 25 3 9 1 0 0 0 0 0
199.365 199365 44 17 9 1 9 1 0 0 0 0 0
199.385 199385 44 17 9 1 10 1 0 0 0 0 0
199.405 199405 44 17 9 1 10 0 0 0 0 0 0
199.425 199425 44 17 9 1 10 0 0 0 0 0 0
199.445 199445 36 11 9 1 10 0 0 0 0 0 0
199.465 199465 36 11 32 3 10 0 0 0 0 0 0
199.485 199485 36 11 32 3 12 0 0 0 0 0 0
199.506 199506 36 11 32 3 12 3 0 0 0 0 0
199.526 199526 36 11 32 3 12 3 0 0 0 0 0
199.546 199546 36 11 32 3 12 3 0 0 0 0 0
199.566 199566 36 11 14 0 12 3 0 0 0 0 0
199.586 199586 36 11 14 0 7 3 0 0 0 0 0
199.606 199606 36 11 14 0 7 0 0 0 0 0 0
199.626 199626 36 11 14 0 7 0 0 0 0 0 0
199.646 199646 32 7 14 0 7 0 0 0 0 0 0
199.666 199666 32 7 19 0 7 0 0 0 0 0 0
199.686 199686 32 7 19 0 8 0 0 0 0 0 0
199.706 199706 32 7 19 0 8 8 0 0 0 0 0
199.726 199726 32 7 19 0 8 8 0 0 0 0 0
199.746 199746 32 7 19 0 8 8 0 0 0 0 0
199.767 199767 32 7 5 1 8 8 0 0 0 0 0
199.787 199787 32 7 5 1 16 8 0 0 0 0 0
199.807 199807 32 7 5 1 16 10 0 0 0 0 0
199.827 199827 32 7 5 1 16 10 0 0 0 0 0
199.847 199847 27 7 5 1 16 10 0 0 0 0 0
199.867 199867 27 7 21 0 16 10 0 0 0 0 0
199.887 199887 27 7 21 0 11 10 0 0 0 0 0
199.907 199907 27 7 21 0 11 9 0 0 0 0 0
199.927 199927 27 7 21 0 11 9 0 0 0 0 0
199.947 199947 27 7 21 0 11 9 0 0 0 0 0
199.967 199967 27 7 11 5 11 9 0 0 0 0 0
199.987 199987 27 7 11 5 9 9 0 0 0 0 0
200.007 200007 27 7 11 5 9 6 0 0 0 0 0
200.028 200028 27 7 11 5 9 6 0 0 0 0 0
200.048 200048 26 8 11 5 9 6 0 0 0 0 0
200.068 200068 26 8 6 2 9 6 0 0 0 0 0
200.088 200088 26 8 6 2 8 6 0 0 0 0 0
200.108 200108 26 8 6 2 8 12 0 0 0 0 0
200.128 200128 26 8 6 2 8 12 0 0 0 0 0
200.148 200148 26 8 6 2 8 12 0 0 0 0 0
200.168 200168 26 8 1 6 8 12 0 0 0 0 0
200.188 200188 26 8 1 6 13 12 0 0 0 0 0
200.208 200208 26 8 1 6 13 8 0 0 0 0 0
200.228 200228 26 8 1 6 13 8 0 0 0 0 0
200.248 200248 31 10 1 6 13 8 0 0 0 0 0
